1	0.65839	-0.017598
11	0.65839	-0.017598
21	0.65839	-0.017598
31	0.65839	-0.017598
41	0.65839	-0.017598
51	0.65839	-0.017598
61	0.65839	-0.017598
71	0.65839	-0.017598
81	0.65839	-0.017601
91	0.65839	-0.017613
101	0.65839	-0.017662
111	0.65839	-0.017805
121	0.65839	-0.018149
131	0.65839	-0.018861
141	0.65839	-0.020173
151	0.65839	-0.022375
161	0.65839	-0.025806
171	0.65839	-0.030838
181	0.65839	-0.037856
191	0.65839	-0.047251
201	0.65839	-0.059394
211	0.65839	-0.074638
221	0.65839	-0.0933
231	0.65839	-0.11566
241	0.65839	-0.14197
251	0.65838	-0.17242
261	0.65838	-0.20718
271	0.65838	-0.24638
281	0.65838	-0.29012
291	0.65838	-0.33846
301	0.65838	-0.39144
311	0.65838	-0.44908
321	0.65838	-0.51137
331	0.65838	-0.57829
341	0.65838	-0.6498
351	0.65838	-0.72586
361	0.65838	-0.8064
371	0.65837	-0.89136
381	0.65837	-0.98067
391	0.65837	-1.0742
401	0.65837	-1.172
411	0.65837	-1.2739
421	0.65837	-1.3797
431	0.65837	-1.4895
441	0.65836	-1.6032
451	0.65836	-1.7206
461	0.65836	-1.8416
471	0.65836	-1.9663
481	0.65836	-2.0944
491	0.65836	-2.2259
501	0.65835	-2.3608
511	0.65835	-2.4989
521	0.65835	-2.6402
531	0.65835	-2.7845
541	0.65835	-2.9319
551	0.65835	-3.0823
561	0.65834	-3.2355
571	0.65834	-3.3915
581	0.65834	-3.5502
591	0.65834	-3.7116
601	0.65833	-3.8756
611	0.65833	-4.0422
621	0.65833	-4.2113
631	0.65833	-4.3828
641	0.65833	-4.5566
651	0.65832	-4.7328
661	0.65832	-4.9112
671	0.65832	-5.0919
681	0.65832	-5.2747
691	0.65832	-5.4597
701	0.65831	-5.6467
711	0.65831	-5.8357
721	0.65831	-6.0267
731	0.65831	-6.2197
741	0.6583	-6.4145
751	0.6583	-6.6112
761	0.6583	-6.8097
771	0.6583	-7.01
781	0.6583	-7.2121
791	0.65829	-7.4158
801	0.65829	-7.6212
811	0.65829	-7.8283
821	0.65829	-8.0369
831	0.65828	-8.2472
841	0.65828	-8.4589
851	0.65828	-8.6722
861	0.65828	-8.887
871	0.65827	-9.1032
881	0.65827	-9.3209
891	0.65827	-9.5399
901	0.65827	-9.7603
911	0.65827	-9.9821
921	0.65826	-10.205
931	0.65826	-10.43
941	0.65826	-10.655
951	0.65826	-10.882
961	0.65825	-11.11
971	0.65825	-11.34
981	0.65825	-11.57
991	0.65825	-11.802
